DATE,PCEPILFE
1959-01-01,16.727
1959-02-01,16.74
1959-03-01,16.759
1959-04-01,16.801
1959-05-01,16.822
1959-06-01,16.871
1959-07-01,16.911
1959-08-01,16.938
1959-09-01,16.983
1959-10-01,17.012
1959-11-01,17.043
1959-12-01,17.069
1960-01-01,17.073
1960-02-01,17.105
1960-03-01,17.107
1960-04-01,17.138
1960-05-01,17.166
1960-06-01,17.176
1960-07-01,17.206
1960-08-01,17.231
1960-09-01,17.244
1960-10-01,17.255
1960-11-01,17.301
1960-12-01,17.295
1961-01-01,17.3
1961-02-01,17.317
1961-03-01,17.322
1961-04-01,17.346
1961-05-01,17.369
1961-06-01,17.395
1961-07-01,17.422
1961-08-01,17.44
1961-09-01,17.475
1961-10-01,17.481
1961-11-01,17.483
1961-12-01,17.499
1962-01-01,17.519
1962-02-01,17.548
1962-03-01,17.589
1962-04-01,17.593
1962-05-01,17.617
1962-06-01,17.649
1962-07-01,17.664
1962-08-01,17.667
1962-09-01,17.702
1962-10-01,17.701
1962-11-01,17.713
1962-12-01,17.718
1963-01-01,17.753
1963-02-01,17.773
1963-03-01,17.783
1963-04-01,17.805
1963-05-01,17.837
1963-06-01,17.868
1963-07-01,17.884
1963-08-01,17.9
1963-09-01,17.932
1963-10-01,17.972
1963-11-01,17.989
1963-12-01,18.014
1964-01-01,18.039
1964-02-01,18.074
1964-03-01,18.09
1964-04-01,18.107
1964-05-01,18.123
1964-06-01,18.136
1964-07-01,18.154
1964-08-01,18.177
1964-09-01,18.185
1964-10-01,18.192
1964-11-01,18.218
1964-12-01,18.244
1965-01-01,18.268
1965-02-01,18.291
1965-03-01,18.301
1965-04-01,18.323
1965-05-01,18.357
1965-06-01,18.352
1965-07-01,18.37
1965-08-01,18.405
1965-09-01,18.427
1965-10-01,18.42
1965-11-01,18.455
1965-12-01,18.511
1966-01-01,18.516
1966-02-01,18.562
1966-03-01,18.585
1966-04-01,18.651
1966-05-01,18.701
1966-06-01,18.762
1966-07-01,18.817
1966-08-01,18.852
1966-09-01,18.909
1966-10-01,18.971
1966-11-01,19.019
1966-12-01,19.077
1967-01-01,19.095
1967-02-01,19.129
1967-03-01,19.158
1967-04-01,19.211
1967-05-01,19.253
1967-06-01,19.302
1967-07-01,19.368
1967-08-01,19.427
1967-09-01,19.496
1967-10-01,19.569
1967-11-01,19.631
1967-12-01,19.679
1968-01-01,19.766
1968-02-01,19.852
1968-03-01,19.931
1968-04-01,20.004
1968-05-01,20.08
1968-06-01,20.158
1968-07-01,20.225
1968-08-01,20.304
1968-09-01,20.387
1968-10-01,20.469
1968-11-01,20.546
1968-12-01,20.609
1969-01-01,20.687
1969-02-01,20.757
1969-03-01,20.854
1969-04-01,20.935
1969-05-01,21.018
1969-06-01,21.091
1969-07-01,21.189
1969-08-01,21.249
1969-09-01,21.334
1969-10-01,21.425
1969-11-01,21.507
1969-12-01,21.587
1970-01-01,21.659
1970-02-01,21.742
1970-03-01,21.823
1970-04-01,21.909
1970-05-01,21.986
1970-06-01,22.066
1970-07-01,22.149
1970-08-01,22.226
1970-09-01,22.319
1970-10-01,22.429
1970-11-01,22.544
1970-12-01,22.658
1971-01-01,22.747
1971-02-01,22.834
1971-03-01,22.907
1971-04-01,22.992
1971-05-01,23.093
1971-06-01,23.184
1971-07-01,23.273
1971-08-01,23.305
1971-09-01,23.344
1971-10-01,23.381
1971-11-01,23.433
1971-12-01,23.507
1972-01-01,23.607
1972-02-01,23.671
1972-03-01,23.717
1972-04-01,23.772
1972-05-01,23.828
1972-06-01,23.875
1972-07-01,23.944
1972-08-01,23.994
1972-09-01,24.075
1972-10-01,24.088
1972-11-01,24.152
1972-12-01,24.225
1973-01-01,24.24
1973-02-01,24.316
1973-03-01,24.414
1973-04-01,24.556
1973-05-01,24.651
1973-06-01,24.757
1973-07-01,24.863
1973-08-01,24.979
1973-09-01,25.105
1973-10-01,25.202
1973-11-01,25.324
1973-12-01,25.464
1974-01-01,25.589
1974-02-01,25.753
1974-03-01,25.953
1974-04-01,26.147
1974-05-01,26.398
1974-06-01,26.67
1974-07-01,26.906
1974-08-01,27.165
1974-09-01,27.409
1974-10-01,27.623
1974-11-01,27.825
1974-12-01,28.021
1975-01-01,28.185
1975-02-01,28.384
1975-03-01,28.533
1975-04-01,28.671
1975-05-01,28.793
1975-06-01,28.933
1975-07-01,29.112
1975-08-01,29.212
1975-09-01,29.371
1975-10-01,29.517
1975-11-01,29.713
1975-12-01,29.893
1976-01-01,30.046
1976-02-01,30.166
1976-03-01,30.266
1976-04-01,30.384
1976-05-01,30.527
1976-06-01,30.651
1976-07-01,30.82
1976-08-01,30.997
