DATE,PAYEMS
1939-01-01,29923
1939-02-01,30100
1939-03-01,30280
1939-04-01,30094
1939-05-01,30299
1939-06-01,30502
1939-07-01,30419
1939-08-01,30663
1939-09-01,31031
1939-10-01,31411
1939-11-01,31470
1939-12-01,31542
1940-01-01,31603
1940-02-01,31715
1940-03-01,31825
1940-04-01,31701
1940-05-01,31879
1940-06-01,31977
1940-07-01,31942
1940-08-01,32352
1940-09-01,32810
1940-10-01,33267
1940-11-01,33669
1940-12-01,34174
1941-01-01,34481
1941-02-01,34843
1941-03-01,35092
1941-04-01,35468
1941-05-01,36182
1941-06-01,36650
1941-07-01,37137
1941-08-01,37544
1941-09-01,37835
1941-10-01,37949
1941-11-01,38024
1941-12-01,38104
1942-01-01,38347
1942-02-01,38512
1942-03-01,38935
1942-04-01,39352
1942-05-01,39771
1942-06-01,40029
1942-07-01,40472
1942-08-01,40988
1942-09-01,41259
1942-10-01,41515
1942-11-01,41674
1942-12-01,41915
1943-01-01,42172
1943-02-01,42393
1943-03-01,42552
1943-04-01,42647
1943-05-01,42596
1943-06-01,42781
1943-07-01,42700
1943-08-01,42546
1943-09-01,42492
1943-10-01,42675
1943-11-01,42821
1943-12-01,42746
1944-01-01,42654
1944-02-01,42538
1944-03-01,42294
1944-04-01,42063
1944-05-01,41985
1944-06-01,41947
1944-07-01,41904
1944-08-01,41850
1944-09-01,41679
1944-10-01,41708
1944-11-01,41711
1944-12-01,41860
1945-01-01,41895
1945-02-01,41897
1945-03-01,41798
1945-04-01,41446
1945-05-01,41304
1945-06-01,41149
1945-07-01,40874
1945-08-01,40466
1945-09-01,38507
1945-10-01,38600
1945-11-01,38996
1945-12-01,39110
1946-01-01,39829
1946-02-01,39244
1946-03-01,40195
1946-04-01,40913
1946-05-01,41349
1946-06-01,41735
1946-07-01,42153
1946-08-01,42642
1946-09-01,42915
1946-10-01,43093
1946-11-01,43395
1946-12-01,43379
1947-01-01,43535
1947-02-01,43557
1947-03-01,43607
1947-04-01,43499
1947-05-01,43638
1947-06-01,43810
1947-07-01,43743
1947-08-01,43960
1947-09-01,44203
1947-10-01,44411
1947-11-01,44484
1947-12-01,44581
1948-01-01,44679
1948-02-01,44533
1948-03-01,44683
1948-04-01,44379
1948-05-01,44796
1948-06-01,45034
1948-07-01,45160
1948-08-01,45178
1948-09-01,45294
1948-10-01,45245
1948-11-01,45192
1948-12-01,45032
1949-01-01,44668
1949-02-01,44497
1949-03-01,44240
1949-04-01,44236
1949-05-01,43984
1949-06-01,43739
1949-07-01,43531
1949-08-01,43624
1949-09-01,43780
1949-10-01,42942
1949-11-01,43242
1949-12-01,43522
1950-01-01,43526
1950-02-01,43297
1950-03-01,43954
1950-04-01,44382
1950-05-01,44718
1950-06-01,45083
1950-07-01,45454
1950-08-01,46192
1950-09-01,46438
1950-10-01,46706
1950-11-01,46776
1950-12-01,46861
1951-01-01,47288
1951-02-01,47577
1951-03-01,47873
1951-04-01,47861
1951-05-01,47952
1951-06-01,48064
1951-07-01,48061
1951-08-01,48012
1951-09-01,47954
1951-10-01,48006
1951-11-01,48147
1951-12-01,48314
1952-01-01,48296
1952-02-01,48522
1952-03-01,48504
1952-04-01,48620
1952-05-01,48642
1952-06-01,48282
1952-07-01,48143
1952-08-01,48924
1952-09-01,49320
1952-10-01,49597
1952-11-01,49816
1952-12-01,50166
1953-01-01,50144
1953-02-01,50339
1953-03-01,50473
1953-04-01,50435
1953-05-01,50490
1953-06-01,50519
1953-07-01,50536
1953-08-01,50489
1953-09-01,50368
1953-10-01,50240
1953-11-01,49908
1953-12-01,49703
1954-01-01,49469
1954-02-01,49382
1954-03-01,49157
1954-04-01,49179
1954-05-01,48965
1954-06-01,48895
1954-07-01,48835
1954-08-01,48826
1954-09-01,48886
1954-10-01,48942
1954-11-01,49180
1954-12-01,49331
1955-01-01,49496
1955-02-01,49644
1955-03-01,49962
1955-04-01,50248
1955-05-01,50512
1955-06-01,50790
1955-07-01,50987
1955-08-01,51111
1955-09-01,51266
1955-10-01,51429
1955-11-01,51592
1955-12-01,51805
1956-01-01,51975
1956-02-01,52167
1956-03-01,52294
1956-04-01,52375
1956-05-01,52506
1956-06-01,52586
1956-07-01,51955
1956-08-01,52631
1956-09-01,52604
1956-10-01,52777
1956-11-01,52821
1956-12-01,52929
1957-01-01,52887
1957-02-01,53097
1957-03-01,53156
1957-04-01,53238
1957-05-01,53150
1957-06-01,53067
1957-07-01,53123
1957-08-01,53128
1957-09-01,52934
1957-10-01,52763
1957-11-01,52558
1957-12-01,52384
1958-01-01,52076
1958-02-01,51576
1958-03-01,51299
1958-04-01,51027
1958-05-01,50914
1958-06-01,50914
1958-07-01,51039
1958-08-01,51233
1958-09-01,51506
1958-10-01,51485
1958-11-01,51944
1958-12-01,52085
1959-01-01,52478
1959-02-01,52688
1959-03-01,53014
1959-04-01,53321
1959-05-01,53550
1959-06-01,53681
1959-07-01,53804
1959-08-01,53336
1959-09-01,53428
1959-10-01,53358
1959-11-01,53634
1959-12-01,54174
1960-01-01,54274
1960-02-01,54513
1960-03-01,54454
1960-04-01,54813
1960-05-01,54475
1960-06-01,54348
1960-07-01,54306
1960-08-01,54272
1960-09-01,54227
1960-10-01,54142
1960-11-01,53961
1960-12-01,53742
1961-01-01,53683
1961-02-01,53557
1961-03-01,53659
1961-04-01,53627
1961-05-01,53786
1961-06-01,53977
1961-07-01,54123
1961-08-01,54298
1961-09-01,54388
1961-10-01,54522
1961-11-01,54742
1961-12-01,54872
1962-01-01,54891
1962-02-01,55188
1962-03-01,55275
1962-04-01,55602
1962-05-01,55628
1962-06-01,55644
1962-07-01,55746
1962-08-01,55838
1962-09-01,55978
1962-10-01,56041
1962-11-01,56056
1962-12-01,56028
1963-01-01,56115
1963-02-01,56230
1963-03-01,56320
1963-04-01,56580
1963-05-01,56616
1963-06-01,56659
1963-07-01,56794
1963-08-01,56910
1963-09-01,57078
1963-10-01,57283
1963-11-01,57255
1963-12-01,57361
1964-01-01,57487
1964-02-01,57753
1964-03-01,57897
1964-04-01,57922
1964-05-01,58089
1964-06-01,58219
1964-07-01,58412
1964-08-01,58619
1964-09-01,58903
1964-10-01,58793
1964-11-01,59218
1964-12-01,59421
1965-01-01,59582
1965-02-01,59800
1965-03-01,60003
1965-04-01,60259
1965-05-01,60491
1965-06-01,60690
1965-07-01,60965
1965-08-01,61228
1965-09-01,61490
1965-10-01,61719
1965-11-01,61996
1965-12-01,62322
1966-01-01,62529
1966-02-01,62796
1966-03-01,63192
1966-04-01,63437
1966-05-01,63712
1966-06-01,64111
1966-07-01,64301
1966-08-01,64507
1966-09-01,64643
1966-10-01,64854
1966-11-01,65019
1966-12-01,65199
1967-01-01,65407
1967-02-01,65429
1967-03-01,65530
1967-04-01,65466
1967-05-01,65620
1967-06-01,65750
1967-07-01,65888
1967-08-01,66143
1967-09-01,66164
1967-10-01,66225
1967-11-01,66703
1967-12-01,66900
1968-01-01,66804
1968-02-01,67215
1968-03-01,67295
1968-04-01,67556
1968-05-01,67652
1968-06-01,67905
1968-07-01,68126
1968-08-01,68330
1968-09-01,68484
1968-10-01,68721
1968-11-01,68984
1968-12-01,69248
1969-01-01,69439
1969-02-01,69699
1969-03-01,69905
1969-04-01,70072
1969-05-01,70328
1969-06-01,70636
1969-07-01,70729
1969-08-01,71008
1969-09-01,70914
1969-10-01,71121
1969-11-01,71086
1969-12-01,71241
1970-01-01,71176
1970-02-01,71305
1970-03-01,71451
1970-04-01,71348
1970-05-01,71124
1970-06-01,71029
1970-07-01,71053
1970-08-01,70937
1970-09-01,70944
1970-10-01,70521
1970-11-01,70409
1970-12-01,70792
1971-01-01,70865
1971-02-01,70807
1971-03-01,70860
1971-04-01,71036
1971-05-01,71247
1971-06-01,71254
1971-07-01,71315
1971-08-01,71373
1971-09-01,71614
1971-10-01,71642
1971-11-01,71847
1971-12-01,72109
1972-01-01,72441
1972-02-01,72648
1972-03-01,72944
1972-04-01,73162
1972-05-01,73469
1972-06-01,73758
1972-07-01,73709
1972-08-01,74141
1972-09-01,74264
1972-10-01,74674
1972-11-01,74973
1972-12-01,75268
1973-01-01,75617
1973-02-01,76014
1973-03-01,76284
1973-04-01,76455
1973-05-01,76648
1973-06-01,76887
1973-07-01,76913
1973-08-01,77168
1973-09-01,77276
1973-10-01,77607
1973-11-01,77920
1973-12-01,78031
1974-01-01,78100
1974-02-01,78254
1974-03-01,78296
1974-04-01,78382
1974-05-01,78549
1974-06-01,78604
1974-07-01,78636
1974-08-01,78619
1974-09-01,78610
1974-10-01,78630
1974-11-01,78265
1974-12-01,77652
1975-01-01,77293
1975-02-01,76918
1975-03-01,76648
1975-04-01,76460
1975-05-01,76624
1975-06-01,76521
1975-07-01,76770
1975-08-01,77153
1975-09-01,77228
1975-10-01,77540
1975-11-01,77685
1975-12-01,78017
1976-01-01,78503
1976-02-01,78816
1976-03-01,79048
1976-04-01,79292
1976-05-01,79312
1976-06-01,79376
1976-07-01,79547
1976-08-01,79704
1976-09-01,79892
1976-10-01,79911
1976-11-01,80240
1976-12-01,80448
1977-01-01,80690
1977-02-01,80988
1977-03-01,81391
1977-04-01,81728
1977-05-01,82088
1977-06-01,82488
1977-07-01,82834
1977-08-01,83075
1977-09-01,83532
1977-10-01,83800
1977-11-01,84173
1977-12-01,84410
1978-01-01,84594
1978-02-01,84948
1978-03-01,85460
1978-04-01,86162
1978-05-01,86509
1978-06-01,86950
1978-07-01,87204
1978-08-01,87483
1978-09-01,87621
1978-10-01,87956
1978-11-01,88391
1978-12-01,88671
1979-01-01,88808
1979-02-01,89055
1979-03-01,89479
1979-04-01,89417
1979-05-01,89789
1979-06-01,90108
1979-07-01,90217
1979-08-01,90300
1979-09-01,90327
1979-10-01,90481
1979-11-01,90573
1979-12-01,90672
1980-01-01,90800
1980-02-01,90883
1980-03-01,90994
1980-04-01,90849
1980-05-01,90420
1980-06-01,90101
1980-07-01,89840
1980-08-01,90099
1980-09-01,90213
1980-10-01,90490
1980-11-01,90747
1980-12-01,90943
1981-01-01,91033
1981-02-01,91105
1981-03-01,91210
1981-04-01,91283
1981-05-01,91296
1981-06-01,91490
1981-07-01,91601
1981-08-01,91565
1981-09-01,91477
1981-10-01,91380
1981-11-01,91171
1981-12-01,90895
1982-01-01,90565
1982-02-01,90563
1982-03-01,90434
1982-04-01,90150
1982-05-01,90107
1982-06-01,89865
1982-07-01,89521
1982-08-01,89363
1982-09-01,89183
1982-10-01,88907
1982-11-01,88786
1982-12-01,88771
1983-01-01,88990
1983-02-01,88917
1983-03-01,89090
1983-04-01,89364
1983-05-01,89644
1983-06-01,90021
1983-07-01,90437
1983-08-01,90129
1983-09-01,91247
1983-10-01,91520
1983-11-01,91875
1983-12-01,92230
1984-01-01,92673
1984-02-01,93157
1984-03-01,93429
1984-04-01,93792
1984-05-01,94098
1984-06-01,94479
1984-07-01,94789
1984-08-01,95032
1984-09-01,95344
1984-10-01,95629
1984-11-01,95982
1984-12-01,96107
1985-01-01,96372
1985-02-01,96503
