DATE,"VOLUME
(US$BILLIONS)","EFFR
(PERCENT)",1ST,25TH,75TH,99TH,"TARGET RATE/RANGE
(PERCENT)",LOW,HIGH,"STD. DEV.
(PERCENT)"
06/02/2020,79,1.59,1.55,1.58,1.59,1.65,1.50-1.75,N/A,N/A,N/A
05/02/2020,83,1.59,1.57,1.58,1.59,1.65,1.50-1.75,N/A,N/A,N/A
04/02/2020,80,1.59,1.57,1.58,1.6,1.65,1.50-1.75,N/A,N/A,N/A
03/02/2020,79,1.59,1.55,1.58,1.6,1.66,1.50-1.75,N/A,N/A,N/A
31/01/2020,78,1.59,1.5,1.58,1.61,1.66,1.50-1.75,N/A,N/A,N/A
30/01/2020,64,1.6,1.57,1.59,1.61,1.68,1.50-1.75,N/A,N/A,N/A
29/01/2020,71,1.55,1.52,1.54,1.56,1.65,1.50-1.75,N/A,N/A,N/A
28/01/2020,69,1.55,1.52,1.54,1.56,1.63,1.50-1.75,N/A,N/A,N/A
27/01/2020,71,1.55,1.52,1.54,1.56,1.65,1.50-1.75,N/A,N/A,N/A
24/01/2020,70,1.55,1.52,1.54,1.56,1.61,1.50-1.75,N/A,N/A,N/A
23/01/2020,67,1.55,1.5,1.54,1.56,1.65,1.50-1.75,N/A,N/A,N/A
22/01/2020,69,1.55,1.52,1.54,1.56,1.63,1.50-1.75,N/A,N/A,N/A
21/01/2020,64,1.55,1.53,1.54,1.56,1.62,1.50-1.75,N/A,N/A,N/A
17/01/2020,67,1.55,1.52,1.54,1.56,1.61,1.50-1.75,N/A,N/A,N/A
16/01/2020,78,1.54,1.51,1.54,1.55,1.6,1.50-1.75,N/A,N/A,N/A
15/01/2020,76,1.54,1.52,1.54,1.55,1.6,1.50-1.75,N/A,N/A,N/A
14/01/2020,76,1.54,1.5,1.54,1.55,1.6,1.50-1.75,N/A,N/A,N/A
13/01/2020,85,1.54,1.51,1.54,1.55,1.6,1.50-1.75,N/A,N/A,N/A
10/01/2020,83,1.54,1.51,1.54,1.55,1.6,1.50-1.75,N/A,N/A,N/A
09/01/2020,81,1.55,1.52,1.54,1.55,1.6,1.50-1.75,N/A,N/A,N/A
08/01/2020,83,1.55,1.5,1.54,1.55,1.6,1.50-1.75,N/A,N/A,N/A
07/01/2020,80,1.55,1.51,1.54,1.55,1.6,1.50-1.75,N/A,N/A,N/A
06/01/2020,77,1.55,1.52,1.54,1.55,1.6,1.50-1.75,N/A,N/A,N/A
03/01/2020,79,1.55,1.5,1.54,1.55,1.61,1.50-1.75,N/A,N/A,N/A
02/01/2020,74,1.55,1.52,1.54,1.55,1.61,1.50-1.75,N/A,N/A,N/A
31/12/2019,51,1.55,1,1.53,1.58,1.65,1.50-1.75,N/A,N/A,N/A
30/12/2019,72,1.55,1.5,1.54,1.56,1.61,1.50-1.75,N/A,N/A,N/A
27/12/2019,73,1.55,1.5,1.54,1.56,1.6,1.50-1.75,N/A,N/A,N/A
26/12/2019,75,1.55,1.5,1.54,1.56,1.61,1.50-1.75,N/A,N/A,N/A
24/12/2019,71,1.55,1.5,1.54,1.56,1.61,1.50-1.75,N/A,N/A,N/A
23/12/2019,69,1.55,1.5,1.54,1.56,1.62,1.50-1.75,N/A,N/A,N/A
20/12/2019,69,1.55,1.5,1.54,1.56,1.61,1.50-1.75,N/A,N/A,N/A
19/12/2019,73,1.55,1.5,1.54,1.56,1.61,1.50-1.75,N/A,N/A,N/A
18/12/2019,74,1.55,1.5,1.54,1.56,1.61,1.50-1.75,N/A,N/A,N/A
17/12/2019,68,1.55,1.51,1.54,1.56,1.6,1.50-1.75,N/A,N/A,N/A
16/12/2019,69,1.56,1.52,1.55,1.6,1.61,1.50-1.75,N/A,N/A,N/A
13/12/2019,70,1.55,1.52,1.54,1.56,1.61,1.50-1.75,N/A,N/A,N/A
12/12/2019,75,1.55,1.5,1.54,1.56,1.6,1.50-1.75,N/A,N/A,N/A
11/12/2019,73,1.55,1.52,1.54,1.56,1.61,1.50-1.75,N/A,N/A,N/A
