Date,Index
2020-05-01,45.4
2020-04-01,41.8
2020-03-01,52.5
2020-02-01,57.3
2020-01-01,55.5
2019-12-01,54.9
2019-11-01,53.9
2019-10-01,54.4
2019-09-01,53.5
2019-08-01,56.0
2019-07-01,53.7
2019-06-01,55.1
2019-05-01,56.9
2019-04-01,55.5
2019-03-01,56.1
2019-02-01,59.7
2019-01-01,56.7
2018-12-01,58.0
2018-11-01,60.4
2018-10-01,60.0
2018-09-01,60.8
2018-08-01,58.8
2018-07-01,55.7
2018-06-01,59.1
2018-05-01,58.6
2018-04-01,56.8
2018-03-01,58.8
2018-02-01,59.5
2018-01-01,59.9
2017-12-01,56.0
2017-11-01,57.3
2017-10-01,59.8
2017-09-01,59.4
2017-08-01,55.2
2017-07-01,54.3
2017-06-01,57.2
2017-05-01,57.1
2017-04-01,57.3
2017-03-01,55.6
2017-02-01,57.4
2017-01-01,56.5
2016-12-01,56.6
2016-11-01,56.2
2016-10-01,54.6
2016-09-01,56.6
2016-08-01,51.7
2016-07-01,54.9
2016-06-01,56.1
2016-05-01,53.6
2016-04-01,55.7
2016-03-01,54.9
2016-02-01,54.3
2016-01-01,53.5
2015-12-01,55.3
2015-11-01,55.9
2015-10-01,59.1
2015-09-01,56.9
2015-08-01,59.0
2015-07-01,60.3
2015-06-01,56.0
2015-05-01,55.7
2015-04-01,57.8
2015-03-01,56.5
2015-02-01,56.9
2015-01-01,56.7
2014-12-01,56.2
2014-11-01,59.3
2014-10-01,57.1
2014-09-01,58.6
2014-08-01,59.6
2014-07-01,58.7
2014-06-01,56.0
2014-05-01,56.3
2014-04-01,55.2
2014-03-01,53.1
2014-02-01,51.6
2014-01-01,54.0
2013-12-01,53.0
2013-11-01,54.1
2013-10-01,55.1
2013-09-01,54.5
2013-08-01,57.9
2013-07-01,55.9
2013-06-01,53.4
2013-05-01,54.0
2013-04-01,53.8
2013-03-01,54.5
2013-02-01,54.8
2013-01-01,54.9
2012-12-01,55.7
2012-11-01,55.1
2012-10-01,54.5
2012-09-01,55.3
2012-08-01,53.8
2012-07-01,52.9
2012-06-01,53.3
2012-05-01,54.4
2012-04-01,54.5
2012-03-01,55.1
2012-02-01,54.9
2012-01-01,55.6
2011-12-01,52.6
2011-11-01,53.2
2011-10-01,52.9
2011-09-01,52.7
2011-08-01,54.1
2011-07-01,53.8
2011-06-01,54.2
2011-05-01,55.0
2011-04-01,55.3
2011-03-01,55.5
2011-02-01,56.9
2011-01-01,57.1
2010-12-01,57.0
2010-11-01,56.7
2010-10-01,55.3
2010-09-01,53.6
2010-08-01,52.7
2010-07-01,54.8
2010-06-01,54.6
2010-05-01,55.5
2010-04-01,55.6
2010-03-01,53.2
2010-02-01,50.8
2010-01-01,49.6
2009-12-01,49.9
2009-11-01,49.3
2009-10-01,50.9
2009-09-01,50.5
2009-08-01,49.1
2009-07-01,47.0
2009-06-01,46.8
2009-05-01,44.2
2009-04-01,43.4
2009-03-01,40.0
2009-02-01,41.5
2009-01-01,43.1
2008-12-01,40.0
2008-11-01,37.6
2008-10-01,44.7
2008-09-01,49.4
2008-08-01,50.6
2008-07-01,50.0
2008-06-01,48.3
2008-05-01,51.4
2008-04-01,51.8
2008-03-01,49.4
2008-02-01,49.9
2008-01-01,45.0
