DATE,DTB1YR
2015-01-02,0.22
2015-01-05,0.23
2015-01-06,0.25
2015-01-07,0.25
2015-01-08,0.23
2015-01-09,0.21
2015-01-12,0.18
2015-01-13,0.19
2015-01-14,0.17
2015-01-15,0.15
2015-01-16,0.16
2015-01-19,.
2015-01-20,0.16
2015-01-21,0.16
2015-01-22,0.16
2015-01-23,0.16
2015-01-26,0.16
2015-01-27,0.15
2015-01-28,0.15
2015-01-29,0.15
2015-01-30,0.16
2015-02-02,0.15
2015-02-03,0.21
2015-02-04,0.20
2015-02-05,0.20
2015-02-06,0.25
2015-02-09,0.23
2015-02-10,0.24
2015-02-11,0.23
2015-02-12,0.22
2015-02-13,0.22
2015-02-16,.
2015-02-17,0.23
2015-02-18,0.21
2015-02-19,0.21
2015-02-20,0.21
2015-02-23,0.20
2015-02-24,0.20
2015-02-25,0.19
2015-02-26,0.19
2015-02-27,0.19
2015-03-02,0.19
2015-03-03,0.26
2015-03-04,0.25
2015-03-05,0.24
2015-03-06,0.26
2015-03-09,0.26
2015-03-10,0.24
2015-03-11,0.24
2015-03-12,0.23
2015-03-13,0.23
2015-03-16,0.24
2015-03-17,0.25
2015-03-18,0.21
2015-03-19,0.24
2015-03-20,0.22
2015-03-23,0.22
2015-03-24,0.22
2015-03-25,0.23
2015-03-26,0.26
2015-03-27,0.25
2015-03-30,0.24
2015-03-31,0.26
2015-04-01,0.26
2015-04-02,0.24
2015-04-03,0.20
2015-04-06,0.20
2015-04-07,0.21
2015-04-08,0.21
2015-04-09,0.21
2015-04-10,0.23
2015-04-13,0.22
2015-04-14,0.22
2015-04-15,0.21
2015-04-16,0.20
2015-04-17,0.21
2015-04-20,0.22
2015-04-21,0.21
2015-04-22,0.21
2015-04-23,0.22
2015-04-24,0.22
2015-04-27,0.22
2015-04-28,0.24
2015-04-29,0.24
2015-04-30,0.23
2015-05-01,0.24
2015-05-04,0.24
2015-05-05,0.23
2015-05-06,0.24
2015-05-07,0.23
2015-05-08,0.22
2015-05-11,0.23
2015-05-12,0.23
2015-05-13,0.22
2015-05-14,0.21
2015-05-15,0.21
2015-05-18,0.20
2015-05-19,0.20
2015-05-20,0.20
2015-05-21,0.19
2015-05-22,0.20
2015-05-25,.
2015-05-26,0.21
2015-05-27,0.26
2015-05-28,0.25
2015-05-29,0.25
2015-06-01,0.25
2015-06-02,0.25
2015-06-03,0.25
2015-06-04,0.26
2015-06-05,0.27
2015-06-08,0.25
2015-06-09,0.25
2015-06-10,0.26
2015-06-11,0.26
2015-06-12,0.26
2015-06-15,0.25
2015-06-16,0.25
2015-06-17,0.24
2015-06-18,0.23
2015-06-19,0.22
2015-06-22,0.24
2015-06-23,0.29
2015-06-24,0.29
2015-06-25,0.28
2015-06-26,0.28
2015-06-29,0.26
2015-06-30,0.27
2015-07-01,0.27
2015-07-02,0.25
2015-07-03,.
